sample	value
0	594
1	591
2	587
3	586
4	586
5	584
6	586
7	587
8	588
9	588
10	588
11	588
12	587
13	586
14	584
15	583
16	581
17	580
18	580
19	579
20	580
21	581
22	581
23	582
24	583
25	584
26	585
27	585
28	585
29	585
30	586
31	586
32	586
33	586
34	586
35	586
36	586
37	586
38	586
39	586
40	586
41	587
42	587
43	586
44	586
45	586
46	586
47	586
48	586
49	585
50	585
51	584
52	584
53	584
54	584
55	583
56	583
57	583
58	583
59	583
60	583
61	583
62	583
63	584
64	584
65	584
66	585
67	584
68	584
69	585
70	585
71	585
72	585
73	585
74	585
75	585
76	584
77	584
78	584
79	584
80	584
81	585
82	585
83	585
84	584
85	585
86	585
87	585
88	584
89	584
90	584
91	583
92	583
93	583
94	583
95	583
96	583
97	583
98	583
99	583
100	583
101	584
102	583
103	584
104	584
105	584
106	584
107	583
108	583
109	582
110	582
111	582
112	582
113	582
114	582
115	583
116	582
117	583
118	583
119	583
120	585
121	584
122	584
123	584
124	583
125	583
126	583
127	583
128	583
129	583
130	584
131	584
132	584
133	585
134	585
135	584
136	584
137	584
138	583
139	584
140	583
141	583
142	583
143	583
144	583
145	583
146	583
147	583
148	584
149	583
150	583
151	583
152	583
153	583
154	583
155	583
156	583
157	582
158	582
159	583
160	583
161	583
162	584
163	584
164	584
165	584
166	585
167	585
168	585
169	584
170	584
171	584
172	584
173	584
174	584
175	583
176	583
177	583
178	583
179	583
180	583
181	582
182	582
183	582
184	582
185	581
186	581
187	580
188	580
189	580
190	580
191	581
192	581
193	582
194	582
195	582
196	583
197	583
198	583
199	583
200	583
201	583
202	583
203	583
204	583
205	583
206	584
207	584
208	584
209	584
210	584
211	584
212	584
213	584
214	583
215	583
216	583
217	582
218	582
219	582
220	581
221	581
222	582
223	582
224	582
225	582
226	582
227	583
228	583
229	583
230	583
231	584
232	584
233	585
234	584
235	584
236	584
237	584
238	584
239	584
240	584
241	584
242	584
243	584
244	584
245	584
246	583
247	583
248	581
249	581
250	580
251	580
252	580
253	580
254	580
255	580
256	580
257	581
258	581
259	581
260	581
261	581
262	581
263	581
264	581
265	580
266	580
267	580
268	580
269	578
270	577
271	576
272	574
273	572
274	570
275	566
276	562
277	559
278	554
279	549
280	544
281	540
282	537
283	534
284	533
285	531
286	531
287	532
288	535
289	539
290	545
291	548
292	553
293	558
294	563
295	566
296	571
297	575
298	578
299	581
300	582
301	585
302	585
303	586
304	586
305	585
306	586
307	585
308	585
309	585
310	585
311	585
312	585
313	585
314	585
315	585
316	585
317	584
318	584
319	584
320	584
321	584
322	584
323	585
