r	g	b
1	379	377	373
2	382	382	380
3	362	360	357
4	386	384	382
5	377	376	375
6	369	367	362
7	385	385	381
8	364	364	362
9	383	382	379
10	377	377	375
11	363	362	359
12	384	382	379
13	382	382	380
14	364	364	362
15	362	361	358
16	384	382	379
17	382	382	380
18	377	376	372
19	385	384	382
20	369	369	368
21	369	367	362
22	386	384	381
23	376	376	374
24	362	360	358
25	382	381	378
26	382	381	378
27	363	364	361
28	378	376	373
29	385	385	382
30	370	370	368
31	370	368	363
32	385	384	381
33	377	377	375
34	364	362	359
35	382	382	380
36	366	365	362
37	379	378	376
38	387	386	382
39	371	371	370
40	372	368	364
41	387	386	384
42	379	378	377
43	365	364	362
44	386	384	381
45	386	385	383
46	368	368	366
47	381	380	377
48	388	387	385
49	373	373	372
50	374	371	367
51	388	387	384
52	366	365	361
53	385	384	381
54	384	383	381
55	366	365	363
56	379	376	371
57	384	382	380
58	368	367	366
59	367	363	359
60	378	376	374
61	369	368	367
62	353	350	349
63	369	367	367
64	365	364	367
65	346	346	350
66	357	357	362
67	361	362	370
68	348	348	362
69	362	360	375
70	355	353	373
71	328	327	353
72	327	328	350
73	331	328	354
74	318	314	341
75	302	299	329
76	302	301	327
77	297	293	324
78	291	285	317
79	291	287	320
80	283	284	315
81	282	276	311
82	295	291	318
83	294	289	321
84	278	277	308
85	280	274	308
86	295	292	321
87	273	273	307
88	278	278	307
89	295	290	319
90	288	283	313
91	275	274	304
92	277	276	306
93	293	289	315
94	283	280	311
95	273	272	302
96	281	280	310
97	289	285	312
98	278	273	306
99	280	279	308
100	282	279	307
101	280	277	305
102	284	280	309
103	277	275	304
104	279	273	302
105	291	286	312
106	283	281	310
107	270	269	298
108	289	281	306
109	298	289	315
110	288	277	305
111	293	277	299
112	317	295	311
113	317	293	311
114	319	283	298
115	345	306	309
116	357	310	308
117	355	293	296
118	370	305	304
119	385	317	310
120	379	305	303
121	387	320	318
122	389	322	320
123	385	315	309
124	392	325	322
125	392	327	327
126	385	318	315
127	388	320	313
128	394	330	327
129	387	321	321
130	383	315	309
131	395	331	328
132	388	324	327
133	380	311	310
134	392	327	320
135	386	322	321
136	377	308	306
137	394	333	326
138	392	328	327
139	378	311	309
140	387	324	319
141	394	334	331
142	382	316	316
143	380	315	311
144	391	332	328
145	389	327	322
146	375	309	308
147	387	326	325
148	391	332	327
149	380	316	312
150	383	321	319
151	384	322	320
152	375	311	304
153	383	322	320
154	376	318	316
155	365	304	297
156	368	316	304
157	363	312	305
158	340	292	279
159	330	289	274
160	324	288	281
161	292	267	261
162	268	248	242
163	271	263	251
164	255	249	242
165	228	225	217
166	235	230	222
167	237	231	217
168	211	208	202
169	214	209	203
170	234	227	215
171	228	218	210
172	207	203	198
173	223	215	210
174	231	224	214
175	216	209	204
176	215	212	205
177	225	218	212
178	224	218	205
179	221	210	206
180	216	215	208
181	220	211	209
182	219	214	201
183	221	216	212
184	213	209	203
185	225	217	205
186	231	226	213
187	214	211	204
188	207	204	196
189	229	223	212
190	227	221	210
191	205	202	196
192	218	212	205
193	228	225	211
194	217	210	202
195	210	208	198
196	226	218	211
197	227	221	210
198	213	208	203
199	231	224	225
200	236	234	230
201	233	234	235
202	227	232	250
203	242	240	266
204	244	242	273
205	252	252	289
206	254	254	291
207	252	252	292
208	275	273	304
209	274	272	307
210	264	265	300
211	274	273	304
212	283	280	314
213	273	273	308
214	266	265	301
215	285	283	318
216	271	272	308
217	273	271	306
218	288	286	318
219	278	280	317
220	271	269	308
221	281	282	318
222	288	289	322
223	282	281	317
224	285	283	320
225	293	293	322
226	289	286	318
227	274	274	311
228	285	283	317
229	289	288	315
230	286	280	310
231	284	282	313
232	287	281	312
233	290	287	312
234	288	284	317
235	278	278	310
236	283	278	307
237	297	292	316
238	289	286	317
239	279	274	308
240	296	289	315
241	304	295	322
242	292	282	312
243	304	285	309
244	324	304	319
245	328	300	314
246	340	301	314
247	361	312	316
248	363	306	312
249	361	301	297
250	377	312	310
251	395	328	324
252	386	314	315
253	384	317	314
254	395	330	328
255	395	332	328
256	384	315	316
257	392	332	330
258	394	331	332
259	391	326	319
260	392	331	330
261	393	335	331
262	388	326	323
263	398	337	336
264	393	333	331
265	384	319	318
266	399	339	329
267	398	339	335
268	387	323	321
269	393	328	324
270	401	342	334
271	394	330	329
272	386	319	316
273	401	339	333
274	403	338	332
275	388	320	317
276	398	332	328
277	405	342	335
278	400	329	325
279	402	334	332
280	406	340	333
281	399	325	319
282	401	332	326
283	407	335	333
284	402	328	320
285	400	327	322
286	400	332	327
287	393	325	318
288	381	315	301
289	381	323	310
290	358	305	301
291	336	288	281
292	345	305	294
293	325	296	286
294	287	266	266
295	270	260	258
296	265	260	250
297	248	242	237
298	246	239	236
299	245	238	234
300	246	239	230
301	242	233	228
302	238	233	229
303	242	232	226
304	240	236	224
305	246	237	235
306	233	230	228
307	237	227	220
308	249	241	233
309	246	238	236
310	231	225	222
311	246	241	231
312	246	240	236
313	230	223	220
314	240	235	226
315	247	243	234
316	239	230	229
317	237	229	225
318	249	242	234
319	243	241	231
320	235	226	225
321	243	238	232
322	241	238	231
323	247	241	235
324	234	227	223
325	245	237	232
326	252	246	237
327	239	234	230
328	251	244	241
329	261	258	249
330	260	255	251
331	274	274	267
332	293	286	284
333	300	296	288
334	316	312	304
335	324	323	320
336	322	323	320
337	328	325	322
338	351	350	346
339	358	357	356
340	351	350	348
341	371	371	367
342	378	378	376
343	371	369	366
344	389	388	386
345	389	388	387
346	380	379	376
347	396	395	392
348	400	399	397
349	389	388	386
350	398	396	392
351	407	406	405
352	400	399	398
353	394	393	390
354	411	410	407
355	408	408	406
356	396	396	394
357	411	411	407
358	414	413	412
359	401	398	396
360	416	416	414
361	413	412	411
362	400	400	399
363	416	414	412
364	419	418	415
365	405	405	403
366	413	411	409
367	422	421	419
368	411	411	410
369	408	405	402
370	422	421	419
371	418	417	416
372	405	405	403
373	420	417	416
374	421	422	420
375	408	406	404
376	423	422	419
377	418	418	417
378	406	405	403
379	420	419	416
380	422	420	419
381	409	408	407
382	417	415	411
383	424	423	421
384	414	413	412
385	410	407	404
386	425	424	421
387	420	420	419
388	408	407	405
389	423	421	419
390	424	424	422
391	412	410	407
392	426	425	423
393	422	422	420
394	410	409	407
395	425	424	422
396	428	427	425
397	414	414	412
398	421	420	417
399	429	428	425
400	420	419	417
401	414	412	409
402	429	428	425
403	423	423	422
404	412	411	409
405	411	410	409
406	427	425	423
407	419	419	418
408	416	414	410
409	429	430	426
410	424	425	424
411	413	412	410
412	428	428	424
413	428	427	426
414	415	415	413
415	424	422	419
416	430	430	428
417	421	420	419
418	417	414	411
419	430	430	427
420	424	425	423
421	413	412	410
422	429	428	425
423	421	421	420
424	418	416	413
425	431	430	428
