sample	value
0	544
1	545
2	546
3	546
4	546
5	546
6	547
7	547
8	547
9	547
10	547
11	547
12	546
13	546
14	546
15	545
16	545
17	544
18	544
19	543
20	542
21	541
22	539
23	538
24	536
25	533
26	532
27	530
28	528
29	527
30	526
31	526
32	527
33	528
34	531
35	534
36	537
37	547
38	553
39	561
40	566
41	574
42	579
43	587
44	594
45	600
46	604
47	608
48	610
49	614
50	615
51	617
52	617
53	618
54	618
55	618
56	619
57	619
58	619
59	619
60	619
61	619
62	620
63	620
64	621
65	620
66	621
67	621
68	621
69	622
70	622
71	622
72	622
73	623
74	622
75	623
76	623
77	623
78	623
79	623
80	623
81	623
82	623
83	624
84	623
85	624
86	624
87	623
88	624
89	623
90	624
91	624
92	624
93	623
94	624
95	623
96	624
97	624
98	624
99	624
100	623
101	624
102	623
103	623
104	623
105	623
106	623
107	623
108	622
109	622
110	623
111	622
112	622
113	622
114	622
115	622
116	622
117	621
118	621
119	621
120	621
121	621
122	621
123	623
124	621
125	621
126	621
127	621
128	621
129	621
130	621
131	621
132	622
133	621
134	622
135	621
136	621
137	621
138	621
139	621
140	621
141	622
142	621
143	621
144	621
145	621
146	620
147	620
148	619
149	618
150	616
151	615
152	611
153	609
154	604
155	601
156	596
157	592
158	587
159	582
160	577
161	573
162	569
163	567
164	564
165	564
166	565
167	567
168	571
169	577
170	582
171	588
172	595
173	605
174	610
175	615
176	619
177	620
178	622
179	623
180	623
181	624
182	624
183	624
184	624
185	624
186	624
187	624
188	624
189	624
190	624
191	624
192	624
193	624
194	624
195	624
196	624
197	624
198	624
199	624
200	624
201	624
202	624
203	624
204	625
205	625
206	625
207	625
208	625
209	625
210	625
211	625
212	625
213	625
214	625
215	625
216	625
217	626
218	625
219	626
220	626
221	626
222	626
223	626
224	626
225	627
226	627
227	627
228	627
229	627
230	628
231	628
232	628
233	628
234	628
235	628
236	629
237	629
238	629
239	629
240	629
241	630
242	630
243	630
244	630
245	630
246	630
247	630
248	630
249	630
250	630
251	630
252	629
253	630
254	630
255	629
256	629
257	629
258	629
259	629
260	628
261	628
262	628
263	628
264	627
265	627
266	627
267	626
268	626
269	625
270	625
271	625
272	624
273	624
274	623
275	623
276	623
277	622
278	621
279	622
280	622
281	620
282	620
283	620
284	619
285	618
286	618
287	617
288	617
289	616
290	615
291	615
292	614
293	612
294	611
295	609
296	608
297	606
298	604
299	601
300	598
301	592
302	589
303	586
304	582
305	581
306	579
307	577
308	577
309	575
310	575
311	575
312	575
313	575
314	575
315	576
316	576
317	577
318	578
319	579
320	579
321	580
322	580
323	581
324	581
325	581
326	581
327	582
328	582
329	581
330	581
331	581
332	581
333	581
334	581
335	581
336	580
337	581
338	581
339	581
340	581
341	581
342	581
343	581
344	581
345	581
346	581
347	581
348	581
349	581
350	581
351	580
352	580
353	580
354	579
355	578
356	577
357	577
358	577
359	576
360	576
361	575
362	576
363	576
364	576
365	576
366	576
367	576
368	577
369	577
370	577
371	578
372	580
373	580
374	582
375	582
376	583
377	583
378	584
379	584
380	584
381	584
382	583
383	583
384	582
385	581
386	581
387	580
388	579
389	578
390	578
391	578
392	578
393	577
394	577
395	577
396	577
397	576
398	577
399	577
400	577
401	577
402	578
403	577
404	577
405	577
406	579
407	579
408	578
409	578
410	578
411	578
412	578
413	577
414	577
415	577
416	578
417	578
418	578
419	578
420	578
421	579
422	578
423	578
424	578
425	578
426	578
427	578
428	578
429	578
430	578
431	578
432	579
433	578
434	579
435	579
436	580
437	580
438	580
439	580
440	580
441	580
442	578
443	578
444	578
445	577
446	577
447	577
448	578
449	578
450	578
451	578
452	578
453	578
454	578
455	578
456	578
457	578
458	578
459	578
460	578
461	579
462	579
463	579
464	579
465	579
466	578
467	578
468	578
469	577
470	576
471	576
472	576
473	576
474	576
475	576
476	577
477	577
478	578
479	578
480	579
481	579
482	579
483	579
484	579
485	578
486	579
487	578
488	578
489	579
490	579
491	579
492	579
493	579
494	580
495	580
496	580
497	580
498	580
499	580
500	579
501	578
502	577
503	577
504	576
505	576
506	575
507	575
508	574
509	574
510	572
511	571
512	568
513	566
514	561
515	557
516	554
517	550
518	546
519	544
520	542
521	542
522	543
523	544
524	547
525	554
526	563
527	571
528	581
529	586
530	596
531	603
532	609
533	612
534	615
535	616
536	617
537	617
538	617
539	616
540	615
541	615
542	614
543	613
544	612
545	610
546	608
547	605
548	601
549	597
550	594
551	588
552	583
553	579
554	575
555	571
556	569
557	565
558	563
559	563
560	563
561	564
562	564
563	565
564	566
565	567
566	568
567	569
568	569
569	570
570	571
571	572
572	573
573	573
574	575
575	576
576	576
577	577
578	578
579	580
580	580
581	580
582	580
583	580
584	579
585	579
586	578
587	578
588	577
589	578
590	578
591	578
592	579
593	579
594	579
595	581
596	582
597	583
598	584
599	585
600	587
601	588
602	589
603	590
604	591
605	592
606	594
607	594
608	594
609	593
610	593
611	592
612	591
