sample	value
0	499
1	500
2	500
3	500
4	500
5	500
6	500
7	501
8	501
9	501
10	500
11	500
12	500
13	500
14	500
15	500
16	501
17	500
18	501
19	500
20	501
21	501
22	500
23	500
24	500
25	500
26	500
27	499
28	499
29	498
30	498
31	497
32	495
33	494
34	493
35	490
36	488
37	484
38	482
39	480
40	478
41	477
42	477
43	477
44	478
45	480
46	484
47	487
48	491
49	496
50	503
51	508
52	515
53	520
54	527
55	533
56	540
57	545
58	550
59	553
60	557
61	560
62	561
63	562
64	563
65	563
66	563
67	563
68	563
69	563
70	563
71	563
72	563
73	564
74	564
75	563
76	563
77	564
78	564
79	564
80	564
81	564
82	564
83	564
84	564
85	564
86	565
87	564
88	564
89	565
90	565
91	564
92	564
93	564
94	565
95	565
96	564
97	565
98	564
99	564
100	564
101	564
102	564
103	564
104	563
105	564
106	564
107	563
108	563
109	563
110	563
111	563
112	563
113	563
114	562
115	562
116	563
117	562
118	562
119	563
120	562
121	563
122	562
123	562
124	563
125	562
126	562
127	562
128	562
129	562
130	562
131	562
132	562
133	562
134	562
135	562
136	562
137	562
138	563
139	562
140	562
141	562
142	562
143	562
144	562
145	562
146	562
147	562
148	562
149	562
150	562
151	562
152	561
153	562
154	562
155	561
156	562
157	561
158	561
159	560
160	559
161	559
162	557
163	556
164	553
165	551
166	548
167	545
168	541
169	537
170	532
171	528
172	523
173	514
174	510
175	508
176	505
177	504
178	503
179	504
180	509
181	514
182	522
183	526
184	533
185	539
186	546
187	550
188	555
189	558
190	559
191	561
192	561
193	562
194	562
195	562
196	562
197	562
198	562
199	562
200	562
201	562
202	562
203	562
204	562
205	562
206	562
207	561
208	561
209	561
210	561
211	561
212	561
213	562
214	561
215	561
216	561
217	561
218	561
219	561
220	561
221	561
222	561
223	561
224	561
225	561
226	561
227	561
228	561
229	561
230	561
231	561
232	561
233	561
234	561
235	561
236	562
237	562
238	561
239	562
240	562
241	562
242	561
243	561
244	562
245	562
246	562
247	562
248	562
249	561
250	562
251	561
252	561
253	561
254	560
255	560
256	561
257	560
258	560
259	559
260	559
261	559
262	559
263	558
264	558
265	558
266	558
267	558
268	558
269	557
270	557
271	556
272	556
273	556
274	555
275	555
276	555
277	554
278	554
279	554
280	553
281	553
282	553
283	552
284	552
285	552
286	552
287	551
288	551
289	550
290	549
291	549
292	549
293	548
294	548
295	547
296	547
297	546
298	546
299	545
300	545
301	544
302	543
303	542
304	540
305	539
306	537
307	534
308	529
309	524
310	519
311	513
312	510
313	509
314	504
315	504
316	505
317	508
318	513
319	518
320	523
321	528
322	531
323	534
324	535
325	536
326	537
327	537
328	538
329	538
330	538
331	538
332	539
333	539
334	539
335	540
336	540
337	540
338	540
339	540
340	540
341	540
342	540
343	540
344	539
345	540
346	540
347	540
348	539
349	539
350	539
351	539
352	540
353	539
354	539
355	540
356	539
357	539
358	539
359	540
360	540
361	540
362	540
363	539
364	539
365	540
366	539
367	539
368	539
369	539
370	539
371	540
372	539
373	540
374	539
375	540
376	540
377	540
378	539
379	540
380	540
381	540
382	540
383	540
384	540
385	540
386	540
387	540
388	540
389	540
390	539
391	539
392	539
393	539
394	539
395	539
396	538
397	538
398	538
399	538
400	537
401	538
402	538
403	538
404	538
405	537
406	537
407	538
408	538
409	538
410	538
411	538
412	538
413	538
414	538
415	538
416	538
417	538
418	538
419	538
420	538
421	538
422	538
423	538
424	537
425	537
426	537
427	536
428	536
429	537
430	536
431	536
432	536
433	536
434	536
435	536
436	536
437	536
438	536
439	536
440	536
441	536
442	536
443	536
444	536
445	535
446	535
447	535
448	534
449	535
450	534
451	535
452	534
453	534
454	534
455	534
456	533
457	533
458	533
459	533
460	534
461	533
462	533
463	533
464	533
465	533
466	533
467	533
468	533
469	533
470	533
471	533
472	533
473	533
474	533
475	533
476	533
477	533
478	533
479	533
480	533
481	533
482	533
483	532
484	532
485	532
486	533
487	532
488	532
489	532
490	532
491	532
492	533
493	533
494	532
495	533
496	533
497	533
498	533
499	533
500	533
501	533
502	533
503	533
504	532
505	532
506	532
507	532
508	532
509	532
510	533
511	534
512	534
513	535
514	535
515	535
516	535
517	535
518	535
519	535
520	535
521	535
522	535
523	535
524	535
525	535
526	535
527	536
528	536
529	535
530	535
531	535
532	535
533	534
534	534
535	534
536	533
537	534
538	533
539	533
540	532
541	532
542	532
543	531
544	531
545	531
546	530
547	529
548	528
549	526
550	524
551	521
552	517
553	514
554	508
555	501
556	495
557	488
558	486
559	484
560	483
561	485
562	488
563	495
564	502
565	509
566	514
567	520
568	525
569	532
570	535
571	539
572	542
573	544
574	545
575	546
576	547
577	546
578	547
579	547
580	547
581	547
582	547
583	547
584	547
585	547
586	547
587	547
588	547
589	546
590	546
591	546
592	546
593	546
594	546
595	546
596	546
597	546
598	546
599	546
600	546
601	545
602	545
603	545
604	545
605	545
606	545
607	545
608	545
609	545
610	544
611	545
612	544
613	544
614	544
615	544
616	544
617	544
618	544
619	544
620	544
621	543
622	544
623	544
624	544
625	544
626	544
627	543
628	543
629	544
630	544
631	544
632	543
633	543
634	543
635	543
636	543
637	542
638	542
639	542
640	542
641	541
642	541
643	541
644	540
645	540
646	540
647	539
648	538
649	538
650	537
651	535
652	534
653	531
654	528
655	524
656	522
657	517
658	513
659	507
660	503
661	497
662	492
663	489
664	486
665	484
666	484
667	488
668	495
669	503
670	511
671	520
672	525
673	534
674	538
675	541
676	543
677	545
678	546
679	546
680	546
681	546
682	546
683	546
684	546
685	546
686	545
687	545
688	545
689	545
690	545
691	545
692	545
693	545
694	544
695	544
696	544
697	544
