sample	value
0	513
1	513
2	513
3	514
4	513
5	514
6	513
7	513
8	514
9	514
10	514
11	514
12	514
13	513
14	513
15	513
16	514
17	514
18	514
19	513
20	514
21	514
22	513
23	514
24	514
25	513
26	513
27	513
28	514
29	513
30	514
31	514
32	514
33	514
34	514
35	514
36	514
37	514
38	514
39	514
40	515
41	515
42	516
43	515
44	516
45	516
46	516
47	516
48	516
49	515
50	515
51	515
52	514
53	513
54	512
55	511
56	510
57	509
58	507
59	506
60	505
61	503
62	501
63	499
64	498
65	496
66	494
67	492
68	491
69	490
70	489
71	489
72	488
73	490
74	491
75	492
76	493
77	495
78	497
79	500
80	501
81	504
82	506
83	509
84	510
85	512
86	513
87	514
88	515
89	515
90	515
91	515
92	515
93	515
94	515
95	514
96	514
97	514
98	514
99	514
100	514
101	514
102	514
103	513
104	513
105	513
106	513
107	513
108	513
109	513
110	513
111	513
112	514
113	514
114	514
115	514
116	514
117	514
118	514
119	515
120	514
121	515
122	515
123	515
124	514
125	515
126	515
127	515
128	515
129	515
130	515
131	515
132	515
133	515
134	515
135	515
136	516
137	515
138	516
139	516
140	516
141	516
142	516
143	516
144	516
145	516
146	516
147	516
148	516
149	515
150	515
151	515
152	515
153	516
154	516
155	516
156	516
157	516
158	516
159	516
160	516
161	516
162	516
163	516
164	516
165	516
166	516
167	516
168	516
169	516
170	517
171	517
172	517
173	517
174	517
175	517
176	517
177	517
178	517
179	517
180	517
181	517
182	517
183	516
184	517
185	516
186	516
187	516
188	515
189	515
190	514
191	514
192	512
193	512
