sample	value
0	526
1	526
2	527
3	527
4	527
5	527
6	527
7	527
8	527
9	526
10	526
11	526
12	526
13	527
14	528
15	529
16	529
17	530
18	531
19	531
20	531
21	532
22	532
23	532
24	532
25	532
26	532
27	532
28	532
29	533
30	533
31	534
32	535
33	535
34	535
35	535
36	536
37	537
38	537
39	537
40	538
41	538
42	538
43	539
44	539
45	539
46	539
47	539
48	540
49	540
50	541
51	541
52	541
53	541
54	541
55	541
56	541
57	541
58	541
59	541
60	540
61	540
62	539
63	539
64	540
65	539
66	539
67	539
68	539
69	539
70	538
71	538
72	538
73	538
74	538
75	539
76	539
77	539
78	539
79	540
80	540
81	539
82	540
83	540
84	540
85	540
86	541
87	542
88	541
89	541
90	542
91	542
92	542
93	542
94	542
95	542
96	542
97	542
98	541
99	541
100	542
101	540
102	539
103	537
104	535
105	534
106	530
107	527
108	524
109	518
110	513
111	510
112	505
113	503
114	500
115	498
116	497
117	497
118	498
119	500
120	505
121	507
122	513
123	518
124	523
125	527
126	532
127	536
128	541
129	543
130	546
131	550
132	550
133	551
134	552
135	553
136	553
137	553
138	553
139	553
140	554
141	554
142	554
143	554
144	555
145	554
146	554
147	554
148	554
149	555
150	554
151	554
152	555
153	555
154	555
155	555
156	555
157	555
158	556
159	556
160	556
161	557
162	557
163	557
164	558
165	558
166	558
167	558
168	559
169	559
170	559
171	559
172	560
173	560
174	561
175	561
176	561
177	561
178	561
179	561
180	561
181	561
182	561
183	562
184	562
185	562
186	562
187	562
188	562
189	562
190	562
191	562
192	562
193	563
