sample	value
0	626
1	627
2	628
3	627
4	628
5	628
6	628
7	627
8	628
9	628
10	628
11	628
12	627
13	627
14	628
15	627
16	628
17	628
18	628
19	629
20	628
21	629
22	629
23	629
24	628
25	629
26	628
27	628
28	628
29	629
30	628
31	629
32	629
33	630
34	630
35	630
36	630
37	630
38	630
39	630
40	630
41	630
42	630
43	629
44	629
45	628
46	628
47	627
48	627
49	627
50	626
51	625
52	624
53	623
54	621
55	620
56	618
57	615
58	611
59	607
60	604
61	601
62	597
63	593
64	589
65	584
66	582
67	578
68	577
69	576
70	576
71	578
72	581
73	589
74	595
75	601
76	605
77	611
78	615
79	619
80	622
81	625
82	628
83	629
84	630
85	631
86	631
87	631
88	631
89	631
90	631
91	631
92	631
93	631
94	631
95	631
96	631
97	631
98	631
99	631
100	632
101	632
102	631
103	631
104	631
105	631
106	631
107	632
108	632
109	632
110	632
111	633
112	633
113	633
114	634
115	633
116	633
117	633
118	633
119	633
120	633
121	634
122	633
123	634
124	634
125	633
126	634
127	633
128	634
129	634
130	634
131	634
132	634
133	634
134	634
135	633
136	634
137	634
138	634
139	633
140	633
141	633
142	633
143	633
144	633
145	633
146	633
147	632
148	633
149	633
150	633
151	633
152	633
153	633
154	633
155	633
156	633
157	633
158	633
159	632
160	632
161	633
162	632
163	632
164	632
165	632
166	632
167	632
168	632
169	632
170	633
171	633
172	633
173	633
174	633
175	633
176	633
177	633
178	633
179	633
180	633
181	632
182	633
183	633
184	632
185	631
