sample	value
0	597
1	597
2	597
3	597
4	598
5	597
6	598
7	599
8	599
9	599
10	599
11	600
12	600
13	600
14	600
15	601
16	600
17	600
18	600
19	600
20	600
21	600
22	600
23	600
24	599
25	600
26	599
27	599
28	599
29	599
30	599
31	598
32	598
33	598
34	599
35	599
36	598
37	598
38	598
39	598
40	598
41	597
42	597
43	596
44	597
45	596
46	596
47	596
48	596
49	596
50	596
51	596
52	596
53	596
54	596
55	596
56	596
57	596
58	596
59	597
60	596
61	597
62	596
63	596
64	597
65	596
66	596
67	596
68	596
69	596
70	596
71	596
72	596
73	596
74	596
75	596
76	596
77	596
78	596
79	596
80	596
81	596
82	596
83	596
84	596
85	596
86	596
87	596
88	596
89	596
90	595
91	596
92	596
93	596
94	596
95	596
96	596
97	596
98	596
99	596
100	596
101	596
102	596
103	596
104	596
105	595
106	595
107	595
108	594
109	592
110	592
111	591
112	589
113	587
114	585
115	582
116	579
117	575
118	571
119	568
120	563
121	560
122	555
123	552
124	548
125	546
126	545
127	545
128	545
129	548
130	551
131	554
132	560
133	565
134	572
135	575
136	581
137	584
138	588
139	590
140	592
141	595
142	595
143	596
144	596
145	596
146	596
147	596
148	596
149	596
150	596
151	596
152	596
153	596
154	596
155	597
156	597
157	597
158	597
159	597
160	597
161	597
162	597
163	596
164	597
165	597
166	597
167	597
168	597
169	597
170	598
171	598
172	598
173	598
174	598
175	598
176	598
177	598
178	598
179	598
180	599
181	598
182	599
183	600
184	599
185	599
186	599
187	599
188	599
