sample	value
0	576
1	576
2	576
3	576
4	577
5	576
6	576
7	577
8	576
9	576
10	576
11	576
12	576
13	577
14	577
15	577
16	578
17	578
18	579
19	578
20	578
21	578
22	578
23	578
24	578
25	578
26	579
27	579
28	579
29	580
30	580
31	580
32	581
33	581
34	581
35	582
36	582
37	582
38	582
39	582
40	582
41	583
42	583
43	583
44	584
45	584
46	584
47	584
48	584
49	583
50	583
51	584
52	583
53	584
54	583
55	583
56	583
57	582
58	582
59	581
60	581
61	581
62	580
63	579
64	580
65	580
66	579
67	579
68	579
69	579
70	579
71	579
72	579
73	579
74	579
75	578
76	578
77	579
78	578
79	579
80	579
81	579
82	579
83	578
84	578
85	579
86	578
87	578
88	579
89	579
90	579
91	579
92	579
93	579
94	579
95	578
96	578
97	578
98	577
99	577
100	576
101	576
102	574
103	572
104	570
105	568
106	564
107	560
108	555
109	548
110	542
111	538
112	533
113	531
114	528
115	527
116	527
117	528
118	530
119	533
120	538
121	542
122	548
123	553
124	559
125	563
126	567
127	570
128	573
129	575
130	576
131	577
132	579
133	579
134	579
135	580
136	579
137	579
138	580
139	580
140	580
141	582
142	582
143	583
144	583
145	583
146	585
147	583
148	582
149	583
150	582
151	581
152	582
153	581
154	582
155	582
156	582
157	582
158	582
159	582
160	582
161	582
162	581
163	581
164	581
165	580
166	580
167	580
168	580
169	579
170	580
171	579
172	578
173	578
174	577
175	577
176	576
177	576
178	575
179	575
180	574
181	574
182	573
183	572
184	571
185	570
186	569
