r	g	b
1	528	527	526
2	528	527	527
3	528	527	526
4	528	527	526
5	527	526	525
6	527	526	525
7	527	526	524
8	527	526	524
9	527	526	524
10	526	525	524
11	526	525	523
12	526	524	522
13	525	524	522
14	524	523	521
15	524	522	521
16	523	521	519
17	521	520	518
18	518	517	516
19	517	515	514
20	513	512	511
21	511	510	510
22	508	507	509
23	505	505	509
24	503	503	510
25	505	505	513
26	501	499	510
27	488	487	498
28	472	471	485
29	461	460	474
30	451	451	466
31	438	437	455
32	433	432	450
33	429	430	447
34	426	425	445
35	425	426	444
36	427	429	447
37	426	425	445
38	424	425	444
39	429	430	450
40	427	425	449
41	426	425	447
42	431	430	453
43	429	429	451
44	428	428	450
45	430	428	452
46	426	427	452
47	419	420	443
48	425	422	444
49	427	426	450
50	420	422	441
51	419	419	442
52	425	424	446
53	419	420	441
54	420	418	442
55	427	424	447
56	421	422	444
57	418	415	439
58	428	425	447
59	428	425	449
60	427	423	443
61	443	430	449
62	458	439	452
63	465	438	448
64	480	444	448
65	492	448	452
66	499	452	454
67	504	457	458
68	511	465	465
69	508	466	464
70	514	467	468
71	513	469	470
72	508	468	469
73	510	468	468
74	515	472	471
75	509	469	470
76	507	467	468
77	512	471	471
78	507	469	470
79	506	467	466
80	511	470	469
81	510	469	470
82	508	468	467
83	508	467	469
84	511	471	470
85	507	467	468
86	510	468	468
87	508	467	469
88	504	465	466
89	510	466	467
90	510	468	469
91	505	465	465
92	507	464	465
93	510	467	467
94	505	465	465
95	506	462	463
96	509	465	464
97	503	460	460
98	497	453	453
99	496	453	452
100	485	442	443
101	467	432	428
102	445	420	417
103	402	392	391
104	380	375	373
105	367	364	359
106	347	344	344
107	338	332	330
108	335	332	325
109	324	322	322
110	321	317	316
111	329	324	321
112	325	320	323
113	321	318	319
114	327	325	318
115	330	324	324
116	319	319	318
117	327	320	318
118	335	330	322
119	319	318	313
120	327	321	318
121	325	318	319
122	314	314	311
123	318	314	313
124	326	322	321
125	321	317	318
126	317	312	312
127	326	319	316
128	324	318	319
129	315	310	311
130	327	321	318
131	322	318	318
132	314	312	311
133	325	319	320
134	327	322	323
135	322	320	326
136	343	340	349
137	354	351	365
138	354	354	373
139	370	368	391
140	375	377	401
141	383	384	407
142	393	393	414
143	402	401	424
144	404	403	425
145	402	405	426
146	411	411	431
147	409	409	430
148	407	406	427
149	414	412	434
150	412	411	432
151	408	409	429
152	416	414	434
153	413	412	433
154	410	410	429
155	414	412	432
156	414	414	436
157	413	412	429
158	413	412	430
159	414	413	433
160	413	413	432
161	412	414	432
162	417	415	436
163	414	413	435
164	414	413	434
165	419	417	438
166	417	416	435
167	417	416	437
168	417	416	438
169	413	413	434
170	419	417	439
171	418	416	440
172	418	415	436
173	436	422	441
174	448	427	442
175	455	423	436
176	475	432	440
177	486	434	441
178	490	434	436
179	497	440	441
180	503	450	452
181	497	446	446
182	499	448	448
183	501	450	455
184	495	449	448
185	500	449	452
186	504	454	457
187	497	449	450
188	498	449	451
189	505	455	457
190	498	450	452
191	498	449	448
192	506	454	455
193	498	450	452
194	497	446	448
195	506	453	455
196	501	451	455
197	499	448	448
198	504	453	454
199	498	448	452
200	497	445	448
201	507	454	457
202	499	450	454
203	498	449	449
204	505	452	454
205	502	451	455
206	499	450	449
207	500	448	449
208	502	450	454
209	496	448	447
210	487	438	440
211	484	439	440
212	475	437	436
213	458	423	421
214	436	407	406
215	400	389	388
216	370	366	363
217	361	356	353
218	354	350	352
219	334	332	332
220	332	328	323
221	332	328	329
222	332	328	330
223	324	321	316
224	328	325	322
225	335	332	330
226	321	317	315
227	328	322	318
228	337	332	333
229	322	317	317
230	326	321	316
231	332	328	327
232	323	318	312
233	328	321	321
234	329	327	327
235	324	318	316
236	323	317	317
237	329	325	327
238	322	315	312
239	329	320	318
240	329	328	325
241	324	316	316
242	327	320	318
243	326	324	326
244	322	319	321
245	327	322	319
246	327	324	329
247	336	330	341
248	351	346	356
249	360	361	376
250	366	364	384
251	370	369	395
252	381	385	407
253	389	389	412
254	398	397	420
255	402	402	424
256	403	404	426
257	411	408	429
258	408	408	430
259	409	410	431
260	412	409	432
261	409	409	432
262	412	413	432
263	413	411	431
264	410	409	431
265	412	411	432
266	411	409	430
267	409	410	431
268	412	413	432
269	412	410	430
270	413	411	432
271	412	412	432
272	411	410	430
273	415	412	432
274	413	412	432
275	409	411	430
276	416	414	431
277	413	413	432
