sample	value
0	500
1	501
2	501
3	501
4	500
5	500
6	501
7	500
8	501
9	501
10	500
11	501
12	500
13	500
14	501
15	500
16	501
17	501
18	500
19	501
20	501
21	501
22	501
23	501
24	501
25	501
26	501
27	501
28	501
29	501
30	501
31	501
32	501
33	501
34	501
35	501
36	501
37	502
38	502
39	502
40	502
41	502
42	502
43	502
44	502
45	502
46	502
47	502
48	501
49	502
50	501
51	501
52	502
53	500
54	500
55	499
56	499
57	498
58	496
59	495
60	493
61	491
62	489
63	486
64	484
65	482
66	481
67	479
68	479
69	478
70	479
71	481
72	484
73	491
74	494
75	500
76	507
77	514
78	520
79	527
80	532
81	539
82	545
83	551
84	555
85	559
86	561
87	563
88	564
89	565
90	565
91	566
92	566
93	566
94	566
95	566
96	566
97	566
98	566
99	566
100	566
101	566
102	566
103	567
104	567
105	567
106	567
107	567
108	567
109	567
110	568
111	569
112	568
113	568
114	568
115	568
116	568
117	568
118	568
119	568
120	569
121	568
122	568
123	568
124	568
125	568
126	568
127	568
128	568
129	567
130	568
131	568
132	568
133	568
134	568
135	568
136	568
137	569
138	568
139	568
140	568
141	569
142	568
143	568
144	568
145	569
146	568
147	568
148	569
149	568
150	568
151	569
152	569
153	568
154	568
155	568
156	568
157	568
158	568
159	568
160	568
161	568
162	568
163	568
164	567
165	568
166	568
167	567
168	567
169	568
170	567
171	567
172	567
173	568
174	567
175	567
176	567
177	567
178	568
179	567
180	567
181	567
182	566
183	566
184	564
185	564
186	562
187	560
188	557
189	554
190	551
191	548
192	543
193	539
194	533
195	529
196	522
197	516
198	514
199	511
200	510
201	509
202	510
203	514
204	518
205	530
206	537
207	543
208	549
209	556
210	560
211	564
212	566
213	567
214	569
215	569
216	569
217	569
218	569
219	569
220	569
221	569
222	569
223	569
224	569
225	569
226	569
227	569
228	569
229	570
230	570
231	570
232	570
233	570
234	570
235	570
236	571
237	571
238	570
239	571
240	571
241	571
242	571
243	571
244	571
245	571
246	571
247	571
248	571
249	571
250	571
251	572
252	572
253	572
254	571
255	572
256	571
257	571
258	572
259	571
260	572
261	572
262	571
263	572
264	572
265	572
266	572
267	572
268	572
269	572
270	571
271	571
272	571
273	571
274	571
275	571
276	571
277	571
278	570
279	570
280	571
281	570
282	570
283	570
284	570
285	570
286	569
287	569
288	569
289	568
290	568
291	568
292	567
293	567
294	567
295	567
296	566
297	566
298	565
299	565
300	564
301	563
302	563
303	562
304	562
305	561
306	560
307	560
308	560
309	559
310	558
311	557
312	558
313	558
314	557
315	556
316	556
317	555
318	555
319	555
320	554
321	552
322	551
323	549
324	548
325	545
326	542
327	537
328	532
329	526
330	519
331	515
332	508
333	501
334	498
335	498
336	498
337	499
338	500
339	504
340	508
341	515
342	519
343	525
344	531
345	535
346	538
347	539
348	540
349	540
350	540
351	541
352	541
353	541
354	541
355	540
356	540
357	541
358	541
359	540
360	540
361	540
362	539
363	539
364	538
365	537
366	536
367	535
368	535
369	535
370	534
371	534
372	533
373	533
374	533
375	532
376	532
377	532
378	532
379	532
380	532
381	532
382	532
383	531
384	531
385	531
386	531
387	531
388	531
389	531
390	531
391	531
392	531
393	532
394	531
395	532
396	532
397	531
398	530
399	530
400	530
401	530
402	530
403	530
404	530
405	530
406	530
407	530
408	530
409	530
410	530
411	530
412	530
413	530
414	529
415	529
416	529
417	529
418	529
419	529
420	529
421	530
422	530
423	531
424	531
425	531
426	532
427	532
428	532
429	532
430	532
431	532
432	532
433	531
434	531
435	531
436	531
437	531
438	530
439	531
440	531
441	531
442	530
443	530
444	530
445	530
446	529
447	529
448	529
449	528
450	529
451	528
452	528
453	528
454	527
455	527
456	527
457	527
458	527
459	527
460	527
461	527
462	527
463	527
464	528
465	528
466	529
467	529
468	530
469	530
470	531
471	531
472	531
473	531
474	531
475	531
476	531
477	530
478	530
479	530
480	530
481	530
482	530
483	530
484	530
485	530
486	530
487	530
488	530
489	530
490	529
491	529
492	528
493	528
494	528
495	528
496	528
497	528
498	528
499	528
500	529
501	529
502	528
503	529
504	529
505	528
506	528
507	528
508	528
509	528
510	528
511	527
512	528
513	527
514	527
515	527
516	527
517	527
518	527
519	527
520	526
521	526
522	527
523	527
524	527
525	529
526	530
527	530
528	531
529	532
530	532
531	533
532	532
533	532
534	532
535	531
536	531
537	530
538	530
539	529
540	529
541	529
542	530
543	530
544	530
545	530
546	529
547	530
548	529
549	528
550	528
551	528
552	527
553	527
554	527
555	527
556	526
557	527
558	527
559	527
560	526
561	525
562	523
563	521
564	518
565	514
566	512
567	507
568	503
569	499
570	495
571	491
572	488
573	485
574	484
575	483
576	485
577	490
578	496
579	505
580	513
581	521
582	528
583	534
584	539
585	544
586	545
587	548
588	549
589	550
590	551
591	551
592	550
593	550
594	550
595	550
596	550
597	549
598	549
599	549
600	549
601	548
602	548
603	548
604	548
605	548
606	547
607	547
608	547
609	547
610	546
611	547
612	546
613	546
614	545
615	545
616	545
617	544
618	544
619	543
620	543
621	542
622	541
623	540
624	539
625	539
626	537
627	537
628	535
629	534
630	532
631	531
632	530
633	528
634	526
635	525
636	523
637	522
638	521
639	520
640	520
641	519
642	519
643	519
644	519
645	520
646	521
647	522
648	523
649	524
650	525
651	526
652	527
653	529
654	529
655	530
656	531
657	531
658	532
659	532
660	533
661	533
662	533
663	532
664	532
665	531
666	531
667	530
668	529
669	527
670	526
671	524
672	523
673	522
674	521
675	520
676	518
677	518
678	517
679	517
680	518
681	518
682	520
683	523
684	525
685	530
686	532
687	533
688	534
689	534
690	535
691	534
692	534
693	534
694	533
695	531
696	530
697	529
698	527
699	525
700	523
701	522
702	520
703	519
704	517
705	517
706	517
707	518
708	519
709	520
710	522
711	524
712	525
713	526
714	527
715	527
716	528
717	528
718	529
719	529
720	530
721	530
722	530
723	530
724	531
725	531
726	531
727	531
728	530
729	530
730	530
731	529
732	529
733	529
734	529
735	529
736	529
737	529
738	529
739	529
740	529
741	529
742	529
743	529
744	529
745	529
746	529
747	528
748	528
749	528
750	528
751	528
752	528
753	528
754	528
755	529
756	529
757	530
758	530
759	530
760	531
761	532
762	533
763	533
764	533
765	533
766	533
767	532
768	532
769	531
770	530
771	529
772	528
773	527
774	526
775	523
776	522
777	520
778	519
779	517
780	516
781	514
782	513
783	513
784	515
785	517
786	520
787	524
788	527
789	530
790	533
791	535
792	536
793	537
794	538
795	538
796	537
797	538
798	537
799	537
800	536
801	535
802	534
803	533
804	532
805	531
806	529
807	529
808	528
809	527
810	527
811	526
812	526
813	526
814	526
815	525
816	525
817	525
818	524
819	524
820	524
821	524
822	523
823	523
824	522
825	522
826	522
827	521
828	520
829	518
830	516
831	515
832	511
833	509
834	505
835	501
836	496
837	491
838	486
839	480
840	476
841	475
842	474
843	476
844	500
845	535
846	536
847	511
848	478
849	450
850	435
851	432
852	431
853	429
854	433
855	445
856	453
857	450
858	462
859	466
860	472
861	467
862	461
863	455
